STATE/UT,DISTRICT,TEHSIL/BLOCK NAME,VILLAGE NAME,SITE NAME,LATITUDE,LONGITUDE,WELL SITE TYPE,WATER LEVEL (mbgl)
Goa,North Goa,Bardez,Alto Betim,Porvorim,15.5249520,73.8285390,Dug Well,11.90
Goa,North Goa,Bardez,Anjuna Beach,Anjuna Beach,15.5842360,73.7382270,Dug Well,11.77
Goa,North Goa,Bardez,Britona,Britona,15.5126320,73.8428610,Dug Well,2.50
Goa,North Goa,Bardez,Calangute,Calangute,15.5461380,73.7586850,Dug Well,7.70
Goa,North Goa,Bardez,Colval,Colval,15.6438940,73.8371170,Dug Well,13.05
Goa,North Goa,Bardez,Mapuca,Mapuca,15.6102770,73.8244670,Dug Well,3.60
Goa,North Goa,Bardez,Parra,Parra,15.5729280,73.7927180,Dug Well,2.44
Goa,North Goa,Bardez,Pirna,Pirna,15.6687570,73.8818970,Dug Well,3.60
Goa,North Goa,Bardez,Pomburpa Palmar,Pomburpa Palmar,15.5592530,73.8675910,Dug Well,3.82
Goa,North Goa,Bardez,Salwardhar Dumun,Salwardhar Dumun,15.5376700,73.8687090,Dug Well,3.78
Goa,North Goa,Bardez,Shivoli (Brahmanwada),Shivoli (Brahmanwada),15.6235570,73.7672470,Dug Well,2.23
Goa,North Goa,Bardez,Sirsaim,Sirsaim,15.6267890,73.8758610,Dug Well,3.48
Goa,North Goa,Bicholim,Adavapal,Adavapal,15.6399720,73.8959260,Dug Well,5.60
Goa,North Goa,Bicholim,Devulawada Narve,Devulawada Narve,15.5520480,73.9241280,Dug Well,15.61
Goa,North Goa,Bicholim,Dhatwado Vante,Dhatwado Vante,15.4960360,74.0973290,Dug Well,6.53
Goa,North Goa,Bicholim,Jambhul Batt(Mayam Lake),Jambhul Batt(Mayam Lake),15.5804130,73.9260390,Dug Well,2.50
Goa,North Goa,Bicholim,Mulgaon Shivalkherwad,Mulgaon Shivalkherwad,15.6171820,73.9206920,Dug Well,3.60
Goa,North Goa,Bicholim,Olaulim,Olaulim,15.5696070,73.8634420,Dug Well,7.10
Goa,North Goa,Bicholim,Sal,Sal,15.6879150,73.9269200,Dug Well,3.78
Goa,North Goa,Pernem,Amberem,Amberem,15.5616350,74.1632650,Dug Well,7.96
Goa,North Goa,Pernem,Hasaravanni Vaipal,Hasaravanni Vaipal,15.7325130,73.8995880,Dug Well,2.50
Goa,North Goa,Pernem,Haspur,Haspur,15.7392490,73.9032670,Dug Well,5.22
Goa,North Goa,Pernem,Korgaon,Korgaon,15.7092240,73.7519110,Dug Well,5.32
Goa,North Goa,Pernem,Morji,Morji,15.6363250,73.7396460,Dug Well,1.94
Goa,North Goa,Pernem,Nagjhar,Nagjhar,15.7084770,73.8530670,Dug Well,8.40
Goa,North Goa,Pernem,Pernem,Pernem,15.7175200,73.7982170,Dug Well,3.18
Goa,North Goa,Pernem,Sawanthwada(Mandre m),Sawanthwada(Mandre m),15.6808170,73.7510770,Dug Well,4.28
Goa,North Goa,Pernem,Uguem(Ugawe),Uguem(Ugawe),15.7541640,73.8351130,Dug Well,4.10
Goa,North Goa,Ponda,Bori,Bori,15.3543270,74.0019570,Dug Well,6.54
Goa,North Goa,Ponda,Kundel Dassolwada,Kundel Dassolwada,15.4527210,73.9524190,Dug Well,2.21
Goa,North Goa,Ponda,Mankem,Mankem,15.3051930,74.0483730,Dug Well,4.84
Goa,North Goa,Ponda,Panchawadi,Panchawadi(pz),15.2836250,74.0956740,Dug Well,7.40
Goa,North Goa,Ponda,Shiroda,Shiroda,15.3206260,74.0340390,Dug Well,8.09
Goa,North Goa,Sattari,Bayalwadikeri(Querim),Bayalwadikeri(Querim),15.6112760,74.0670040,Dug Well,2.50
Goa,North Goa,Sattari,Bhamber(Nanoda Cross),Bhamber(Nanoda Cross),15.5879980,74.1913320,Dug Well,5.80
Goa,North Goa,Sattari,Bhujpal,Bhujpal,15.5392440,74.0881880,Dug Well,3.60
Goa,North Goa,Sattari,Charayode,Charayode,15.6278120,74.1308910,Dug Well,4.93
Goa,North Goa,Sattari,Honda,Honda,15.5471470,74.0509080,Dug Well,3.85
Goa,North Goa,Sattari,Khadki(Harijanwada),Khadki(Harijanwada),15.5027750,74.1396670,Dug Well,8.55
Goa,North Goa,Sattari,Khotodem,Khotodem,15.4827680,74.1369520,Dug Well,7.10
Goa,North Goa,Sattari,Morlem,Morlem,15.5939720,74.0463240,Dug Well,14.65
Goa,North Goa,Sattari,Nagargoan,Nagargoan,15.5615760,74.1631970,Dug Well,6.78
Goa,North Goa,Sattari,Valpoi,Valpoi,15.5330170,74.1372170,Dug Well,6.05
Goa,North Goa,Tiswadi,Gavalebhat,Chimbel(Kirl),Gavalebhat,Chimbel(Kirl),15.4893820,73.8741630,Dug Well,5.90
Goa,North Goa,Tiswadi,Karanjhalen,Karanjhalen,15.4589970,73.8028070,Dug Well,3.27
Goa,North Goa,Tiswadi,Velha Goa,Velha Goa,15.5330060,74.1372270,Dug Well,1.60
Goa,South Goa,Canacona,Agonda Desaiwada,Agonda Desaiwada,15.0412650,73.9910690,Dug Well,4.80
Goa,South Goa,Canacona,Canacona,Canacona,15.0071840,74.0521490,Dug Well,4.15
Goa,South Goa,Canacona,Daptamol Lolien,Daptamol Lolien,14.9498570,74.0552800,Dug Well,15.74
Goa,South Goa,Canacona,Gulem Velipwada,Gulem Velipwada,15.0390130,74.0293460,Dug Well,3.72
Goa,South Goa,Canacona,Hattipal Poinguinem,Hattipal Poinguinem,14.9845220,74.1085060,Dug Well,16.31
Goa,South Goa,Canacona,Polem(Polen),Polem(Polen),14.9128920,74.0845460,Dug Well,2.47
Goa,South Goa,Canacona,Shrishtal Gaondongar,Shrishtal Gaondongar,15.0372460,74.1185110,Dug Well,2.44
Goa,South Goa,Canacona,Varca,Varca,15.1607580,73.9570780,Dug Well,9.20
Goa,South Goa,Margao,Assolna,Assolna,15.2766650,74.0399450,Dug Well,4.50
Goa,South Goa,Margao,Betalbatim,Bethalbatim,15.2637630,74.0740650,Dug Well,3.86
Goa,South Goa,Margao,Davorlim,Davorlim,15.2853020,74.0673670,Dug Well,2.50
Goa,South Goa,Margao,Gomtimol,Gomtimol,15.2766340,74.0384890,Dug Well,2.50
Goa,South Goa,Margao,Raia,Raia,15.2890290,74.0891740,Dug Well,6.67
Goa,South Goa,Margao,Verna,Verna,15.2875820,74.0634430,Dug Well,3.60
Goa,South Goa,Sanguem,Chandrapur,Chandrapur,15.1370120,74.2010830,Dug Well,10.50
Goa,South Goa,Sanguem,Colamb,Colamb,15.1072920,74.2236600,Dug Well,4.40
Goa,South Goa,Sanguem,Curtorim,Curtorim,15.2090070,74.2056740,Dug Well,6.72
Goa,South Goa,Sanguem,Raikhind,Raikhind,15.1890490,74.1224550,Dug Well,4.79
Goa,South Goa,Sanguem,Shigao,Shigao,15.0450180,74.1902450,Dug Well,9.55
Goa,South Goa,Sanguem,Shigao,Sangul,15.1421120,74.2138390,Dug Well,2.34
Goa,South Goa,Sanguem,Verem(Shigao),Verem(Shigao),15.1043340,74.2328980,Dug Well,9.32
Goa,South Goa,Quepem,Cuncolim,Cuncolim,15.2076220,74.1055780,Dug Well,7.50
Goa,South Goa,Quepem,Quepem,Quepem,15.2553600,74.0845260,Dug Well,5.18
Goa,South Goa,Quepem,Quepem Qryalecar,Quepem Qryalecar,15.2251040,74.0425240,Dug Well,2.62
Goa,South Goa,Quepem,Sanvordem,Sanvordem,15.2578810,74.1160700,Dug Well,3.79
Goa,South Goa,Quepem,Verna,Verna,15.2729780,74.1210910,Dug Well,6.11
